state,prop_tax_rate,insurance_annual,eviction_friction,insurance_volatility,owner_occ_rate,investor_multiple
AL,0.0102,3716,1,2,0.0037,2.76
AK,0.0135,1492,2,1,0.0094,1.44
AZ,0.0112,2397,2,2,0.0048,2.33
AR,0.0136,3195,1,2,0.0056,2.43
CA,0.0119,1653,5,3,0.007,1.7
CO,0.0046,5511,3,3,0.005,0.92
CT,0.0163,2132,4,1,0.0154,1.06
DE,0.0183,1461,3,1,0.0054,3.39
DC,0.011,1558,5,1,0.0056,1.96
FL,0.0165,8471,2,3,0.0078,2.12
GA,0.0161,2301,1,2,0.0079,2.04
HI,0.0033,738,4,2,0.0029,1.14
ID,0.0086,2412,2,1,0.005,1.72
IL,0.0144,2802,4,1,0.0188,0.77
IN,0.0219,2869,1,1,0.0076,2.88
IA,0.0171,3148,2,2,0.0133,1.29
KS,0.0125,5289,1,3,0.0121,1.03
KY,0.0103,4471,1,2,0.0074,1.39
LA,0.0126,5185,1,3,0.0055,2.29
ME,0.012,1299,3,1,0.0098,1.22
MD,0.0233,2242,4,1,0.0092,2.53
MA,0.0102,2112,5,1,0.01,1.02
MI,0.037,3071,3,1,0.0119,3.11
MN,0.0165,3333,3,2,0.01,1.65
MS,0.0291,2602,1,3,0.0058,5.02
MO,0.0152,3783,1,2,0.0089,1.71
MT,0.005,3221,2,2,0.0061,0.82
NE,0.0185,5513,2,3,0.0144,1.28
NV,0.0111,1876,3,1,0.005,2.22
NH,0.0132,1324,2,1,0.015,0.88
NJ,0.0182,1449,5,1,0.0188,0.97
NM,0.0146,3497,2,2,0.0063,2.32
NY,0.0249,1844,5,1,0.013,1.92
NC,0.0069,3799,1,2,0.0066,1.05
ND,0.0131,2846,2,2,0.0092,1.42
OH,0.0227,2109,2,1,0.0136,1.67
OK,0.0137,5378,1,3,0.0079,1.73
OR,0.0261,1647,5,2,0.0081,3.22
PA,0.0121,1434,3,1,0.0126,0.96
RI,0.0222,2379,4,1,0.0112,1.98
SC,0.0177,2870,1,2,0.0049,3.61
SD,0.0151,3740,1,2,0.01,1.51
TN,0.0111,3198,1,2,0.0052,2.13
TX,0.0204,4582,1,3,0.014,1.46
UT,0.0045,1771,2,1,0.0048,0.94
VT,0.023,1017,4,1,0.0151,1.52
VA,0.0069,1939,2,1,0.0078,0.88
WA,0.0085,1766,4,1,0.0075,1.13
WV,0.0182,1961,1,1,0.0051,3.57
WI,0.0205,1836,2,1,0.0132,1.55
WY,0.0063,2075,2,1,0.0053,1.19
