market,state,home_value,rent,gross_yield,net_yield,tax_share_of_rent,spread,dscr,score,passes,gate_fail
"Orangeburg, SC",SC,150000,1320,0.1056,0.0515837344944384,0.04640151515151515,-0.0244162655055616,0.8117449534443903,95.60178542130122,True,
"Roanoke Rapids, NC",NC,100000,990,0.1188,0.05055336731253157,0.05555555555555555,-0.025446632687468426,0.7955306299118867,93.79881302817907,True,
"Meridian, MS",MS,120000,1070,0.107,0.05177556801893894,0.05420560747663551,-0.024224431981061056,0.8147637324634154,91.82571944653837,True,
"Vidalia, GA",GA,165000,1400,0.10181818181818182,0.049481012438510934,0.07758928571428572,-0.026518987561489064,0.7786555690846874,91.44655809686996,True,
"Ozark, AL",AL,155000,1310,0.10141935483870967,0.045812801683483624,0.0364821882951654,-0.030187198316516374,0.7209309472102301,87.83154590061169,True,
"Thomasville, GA",GA,220000,1720,0.09381818181818181,0.04532997169472297,0.08420542635658916,-0.030670028305277028,0.7133329163466383,85.33425672686585,True,
"Enterprise, AL",AL,175000,1420,0.09737142857142857,0.04398131144343982,0.03799882629107981,-0.032018688556560176,0.692109789257843,85.18808032584356,False,net yield 4.4% < 4.5%
"McComb, MS",MS,105000,840,0.096,0.04354720700899671,0.06041666666666667,-0.03245279299100329,0.6852785257330004,79.9723176535858,False,net yield 4.4% < 4.5%
"Norwalk, OH",OH,185000,1450,0.09405405405405405,0.04008129617536704,0.1445977011494253,-0.035918703824632955,0.6307373868282463,76.87638197575143,False,net yield 4.0% < 4.5%
"Lumberton, NC",NC,130000,1050,0.09692307692307692,0.03809833609164169,0.0680952380952381,-0.03790166390835831,0.5995326309760062,75.73727186863334,False,net yield 3.8% < 4.5%
"Clovis, NM",NM,160000,1250,0.09375,0.039433806640929034,0.0672,-0.036566193359070964,0.6205481989546002,75.1567975779311,False,net yield 3.9% < 4.5%
"Goldsboro, NC",NC,180000,1390,0.09266666666666666,0.037767599445850016,0.07122302158273382,-0.03823240055414998,0.5943280096787742,75.15133033689301,False,net yield 3.8% < 4.5%
"Elmira, NY",NY,150000,1220,0.0976,0.04355477416680306,0.13319672131147542,-0.032445225833196936,0.685397605947363,74.71411252265878,False,net yield 4.4% < 4.5%; eviction friction
"Corning, NY",NY,160000,1280,0.096,0.042718576128219325,0.13541666666666666,-0.03328142387178067,0.6722388157869951,73.44908024430818,False,net yield 4.3% < 4.5%; eviction friction
